date,watch_time_minutes,views,subscribers,video_thumbnail_impressions,video_thumbnail_impressions_ctr
17-06-16,90.7761,40,0,0,
18-06-16,50.4286,25,0,0,
19-06-16,71.253,33,0,0,
20-06-16,131.016,50,1,0,
21-06-16,176.3795,53,0,0,
22-06-16,126.9717,43,1,0,
23-06-16,123.6447,53,1,0,
24-06-16,86.9187,38,0,0,
25-06-16,128.8613,30,0,0,
26-06-16,66.3574,29,0,0,
27-06-16,86.6207,42,2,0,
28-06-16,163.745,72,2,0,
29-06-16,161.9087,64,1,0,
30-06-16,175.2827,51,0,0,
01-07-16,109.8622,34,0,0,
02-07-16,47.8911,19,2,0,
03-07-16,30.6999,11,0,0,
04-07-16,114.819,42,1,0,
05-07-16,135.2649,51,1,0,
06-07-16,164.8715,89,0,0,
07-07-16,125.5869,63,0,0,
08-07-16,150.8961,37,1,0,
09-07-16,71.4496,32,1,0,
10-07-16,120.4916,51,1,0,
11-07-16,252.6611,114,1,0,
12-07-16,178.1445,82,0,0,
13-07-16,196.2805,100,0,0,
14-07-16,135.8247,38,1,0,
15-07-16,53.8488,26,0,0,
16-07-16,68.4297,19,1,0,
17-07-16,108.2077,33,1,0,
18-07-16,158.8306,73,1,0,
19-07-16,168.4241,56,1,0,
20-07-16,103.8016,38,0,0,
21-07-16,127.5711,47,1,0,
22-07-16,141.715,65,0,0,
23-07-16,57.3099,14,0,0,
24-07-16,126.423,40,1,0,
25-07-16,179.3296,58,0,0,
26-07-16,138.9545,68,2,0,
27-07-16,187.374,52,1,0,
28-07-16,246.0327,87,0,0,
29-07-16,194.5979,49,1,0,
30-07-16,62.5842,21,0,0,
31-07-16,88.6081,33,0,0,
01-08-16,128.276,48,0,0,
02-08-16,167.7056,62,0,0,
03-08-16,140.0553,64,0,0,
04-08-16,170.9875,49,0,0,
05-08-16,199.975,79,0,0,
06-08-16,77.3159,34,0,0,
07-08-16,96.8207,32,0,0,
08-08-16,195.6666,83,1,0,
09-08-16,154.1946,69,1,0,
10-08-16,166.6906,56,0,0,
11-08-16,208.76,79,1,0,
12-08-16,92.91,40,0,0,
13-08-16,81.8766,26,2,0,
14-08-16,95.2368,29,1,0,
15-08-16,203.2015,75,0,0,
16-08-16,142.1231,55,0,0,
17-08-16,338.8428,101,0,0,
18-08-16,265.2865,92,0,0,
19-08-16,583.6305,152,4,0,
20-08-16,211.4758,73,2,0,
21-08-16,112.3201,45,0,0,
22-08-16,253.3722,75,0,0,
23-08-16,222.8147,98,1,0,
24-08-16,370.6451,94,2,0,
25-08-16,322.4802,114,2,0,
26-08-16,319.3286,106,0,0,
27-08-16,185.8685,51,2,0,
28-08-16,129.8272,48,0,0,
29-08-16,239.4174,102,2,0,
30-08-16,441.0829,156,0,0,
31-08-16,250.8515,90,0,0,
01-09-16,330.3148,109,4,0,
02-09-16,417.3847,155,2,0,
03-09-16,225.6911,57,1,0,
04-09-16,250.1256,91,2,0,
05-09-16,441.972,129,3,0,
06-09-16,319.2446,114,2,0,
07-09-16,425.3206,134,1,0,
08-09-16,685.6504,218,10,0,
09-09-16,746.2774,180,6,0,
10-09-16,268.3744,83,1,0,
11-09-16,363.0709,118,2,0,
12-09-16,420.4825,159,3,0,
13-09-16,634.163,208,3,0,
14-09-16,833.0452,257,5,0,
15-09-16,550.1838,173,5,0,
16-09-16,803.3949,209,5,0,
17-09-16,634.5282,126,6,0,
18-09-16,412.6565,149,3,0,
19-09-16,1271.8098,302,2,0,
20-09-16,1088.8326,266,1,0,
21-09-16,1704.429,382,9,0,
22-09-16,1215.8212,271,4,0,
23-09-16,1897.218,342,2,0,
24-09-16,802.8461,181,4,0,
25-09-16,848.8133,179,3,0,
26-09-16,1596.4143,319,6,0,
27-09-16,1834.2297,367,6,0,
28-09-16,1678.4077,405,7,0,
29-09-16,1255.1043,267,3,0,
30-09-16,1527.7166,340,2,0,
01-10-16,1025.2358,197,1,0,
02-10-16,741.6777,180,5,0,
03-10-16,1728.056,390,3,0,
04-10-16,2113.3538,464,10,0,
05-10-16,2235.8868,517,14,0,
06-10-16,1977.7558,414,8,0,
07-10-16,2533.1195,677,10,0,
08-10-16,1374.988,335,7,0,
09-10-16,1134.5966,300,9,0,
10-10-16,2216.63,444,9,0,
11-10-16,2346.201,633,12,0,
12-10-16,2653.6965,540,4,0,
13-10-16,2436.1594,490,7,0,
14-10-16,2239.7926,416,10,0,
15-10-16,1681.4287,381,8,0,
16-10-16,1452.1875,338,12,0,
17-10-16,2999.4894,623,9,0,
18-10-16,2702.8209,505,7,0,
19-10-16,3857.8447,638,11,0,
20-10-16,2576.0264,614,10,0,
21-10-16,3407.7735,666,6,0,
22-10-16,1769.8962,349,6,0,
23-10-16,2454.8963,405,10,0,
24-10-16,3494.2587,680,7,0,
25-10-16,2587.6797,572,13,0,
26-10-16,3793.2324,712,8,0,
27-10-16,2617.1941,637,10,0,
28-10-16,3418.0241,606,8,0,
29-10-16,1993.6316,493,8,0,
30-10-16,1478.63,357,7,0,
31-10-16,3401.3309,730,11,0,
01-11-16,2806.1839,614,10,0,
02-11-16,3175.4142,720,10,0,
03-11-16,3420.6951,680,11,0,
04-11-16,3297.7038,721,12,0,
05-11-16,2642.3376,608,2,0,
06-11-16,2079.4382,487,16,0,
07-11-16,3045.27,596,10,0,
08-11-16,3587.9829,680,13,0,
09-11-16,3043.4574,703,8,0,
10-11-16,3468.2963,738,10,0,
11-11-16,3254.6613,818,9,0,
12-11-16,2329.2521,499,4,0,
13-11-16,2361.6439,614,6,0,
14-11-16,3750.426,793,6,0,
15-11-16,4333.6161,952,13,0,
16-11-16,4194.1979,1033,9,0,
17-11-16,4367.5539,957,10,0,
18-11-16,4281.6613,850,14,0,
19-11-16,2588.4774,613,6,0,
20-11-16,2977.5367,678,9,0,
21-11-16,3699.6944,906,9,0,
22-11-16,4668.0084,981,7,0,
23-11-16,4663.0922,990,6,0,
24-11-16,4390.0083,932,7,0,
25-11-16,4183.5071,901,4,0,
26-11-16,2250.8455,572,8,0,
27-11-16,3046.9272,699,15,0,
28-11-16,4570.4345,985,7,0,
29-11-16,4586.6647,881,10,0,
30-11-16,5480.222,1005,10,0,
01-12-16,3719.8484,789,8,0,
02-12-16,4326.5483,919,14,0,
